District,Population Density,Salary,Home Price,GDP,GDP PP
Pudong,4567,8170,48713,1046.009,175448
Huangpu,32004,7160,81375,227.03,320701
Xuhui,19874,7640,71064,167,144983
Changning,18112,8030,68491,142.8,191305
Jing'an,28910,8380,66228,184.7,159550
Putuo,23431,7720,55738,100.17,72796
Hongkou,34058,7970,58927,83.801,96955
Yangpu,21627,7220,59443,184.77,130074
Minhang,6836,8030,47381,201.36,88089
Baoshan,7494,7910,38860,139.206,56506
Jiading,3408,7350,34425,236.27,136218
Jinshan,1367,7360,17850,94.231,121515
Songjiang,2892,7670,40546,127.96,63518
Qingpu,1799,7400,30578,100.12,83071
Fengxian,1681,7530,27555,94.231,66758
Chongming,586,5940,25007,34.571,47623
